gene	chrom	start	end	strand
TRAF3IP3	1	209929397	209955668	+
TRAF4	17	27071028	27077974	+
TRAF5	1	211499956	211548286	+
TRAF6	11	36505320	36531822	-
TRAF7	16	2205782	2228130	+
TRAFD1	12	112563348	112591408	+
TRAIP	3	49866046	49893997	-
TRAK1	3	42128691	42267382	+
TRAK2	2	202241929	202316181	-
TRAM1	8	71485452	71520651	-
TRAM1L1	4	118004709	118006732	-
TRAM2	6	52362205	52441858	-
TRAM2-AS1	6	52441999	52448791	+
TRANK1	3	36868309	36986545	-
TRAP1	16	3708037	3767525	-
TRAPPC1	17	7833662	7835317	-
TRAPPC10	21	45432189	45526432	+
TRAPPC11	4	184580419	184634747	+
TRAPPC12	2	3383445	3483342	+
TRAPPC13	5	64920557	64962060	+
TRAPPC2	X	13730360	13752754	-
TRAPPC2B	19	57874918	57876770	+
TRAPPC2L	16	88922627	88929094	+
TRAPPC3	1	36602169	36621654	-
TRAPPC3L	6	116816151	116866847	-
TRAPPC4	11	118889475	118894844	+
TRAPPC5	19	7745718	7752589	+
TRAPPC6A	19	45666190	45681495	-
TRAPPC6B	14	39617017	39639537	-
TRAPPC8	18	29409161	29523091	-
TRAPPC9	8	140739967	141468678	-
TRARG1	17	1182955	1204272	+
TRAT1	3	108541632	108573852	+
TRDMT1	10	17179334	17244070	-
TRDN	6	123537483	123958238	-
TRDN-AS1	6	123760748	123792901	+
TREH	11	118528025	118550359	-
TREM1	6	41235122	41254483	-
TREM2	6	41126245	41130854	-
TREML1	6	41116998	41122087	-
TREML2	6	41157486	41168887	-
TREML3P	6	41176291	41185685	-
TREML4	6	41196086	41206620	+
TREML5P	6	41217114	41217327	+
TRERF1	6	42192668	42419962	-
TRERNA1	20	48657243	48658166	-
TREX1	3	48507228	48509044	+
TREX2	X	152710177	152711945	-
TRG-AS1	7	38381177	38418238	+
TRH	3	129693562	129696778	+
TRHDE	12	72666149	73064538	+
TRHDE-AS1	12	72647286	72667289	-
TRHR	8	110098813	110133794	+
TRIAP1	12	120881766	120884187	-
TRIB1	8	126442599	126450647	+
TRIB2	2	12856997	12882858	+
TRIB3	20	361272	378203	+
TRIL	7	28992973	28997946	-
TRIM10	6	30119719	30128988	-
TRIM11	1	228581376	228594536	-
TRIM13	13	50571177	50592603	+
TRIM14	9	100846634	100881504	-
TRIM15	6	30131322	30140468	+
TRIM16	17	15531279	15587625	-
TRIM16L	17	18601310	18639432	+
TRIM17	1	228595635	228604583	-
TRIM2	4	154073314	154260469	+
TRIM21	11	4406126	4414932	-
TRIM22	11	5711019	5732093	+
TRIM23	5	64885516	64920160	-
TRIM24	7	138145003	138274741	+
TRIM25	17	54965269	54991410	-
TRIM26	6	30152231	30181183	-
TRIM27	6	28870778	28891762	-
TRIM28	19	59055430	59062082	+
TRIM29	11	119981993	120008821	-
TRIM3	11	6469842	6495689	-
TRIM31	6	30070673	30080867	-
TRIM31-AS1	6	30073016	30082501	+
TRIM32	9	119449583	119463578	+
TRIM33	1	114935414	115053824	-
TRIM34	11	5641173	5665625	+
TRIM35	8	27142402	27168789	-
TRIM36	5	114460472	114516243	-
TRIM37	17	57060009	57184241	-
TRIM38	6	25963029	25991457	+
TRIM39	6	30294245	30311506	+
TRIM39-RPP21	6	30297087	30314635	+
TRIM4	7	99488025	99517153	-
TRIM40	6	30103916	30116512	+
TRIM41	5	180650280	180662808	+
TRIM42	3	140396905	140419992	+
TRIM43	2	96257748	96265524	+
TRIM43B	2	96142714	96150479	-
TRIM44	11	35684322	35839557	+
TRIM45	1	117653681	117664371	-
TRIM46	1	155146262	155157447	+
TRIM47	17	73870244	73874662	-
TRIM48	11	55029630	55038588	+
TRIM49	11	89530822	89541743	-
TRIM49B	11	49050374	49059705	+
TRIM49C	11	89764273	89775193	+
TRIM49D1	11	89644578	89666229	-
TRIM49D2	11	89644578	89666229	-
TRIM5	11	5684424	5706304	-
TRIM50	7	72726531	72742085	-
TRIM51	11	55650772	55659284	+
TRIM51EP	11	89586009	89724838	+
TRIM51HP	11	55061178	55065708	-
TRIM52	5	180682146	180688144	-
TRIM52-AS1	5	180688212	180699308	+
TRIM53AP	11	89575164	89735676	+
TRIM54	2	27505296	27530303	+
TRIM55	8	67039363	67087718	+
TRIM56	7	100728761	100741248	+
TRIM58	1	248020488	248043438	+
TRIM59	3	160153290	160167574	-
TRIM59-IFT80	3	159945240	160203535	-
TRIM6	11	5617340	5634182	+
TRIM6-TRIM34	11	5617866	5665625	+
TRIM60	4	165953150	165962901	+
TRIM61	4	165875597	165898809	-
TRIM62	1	33610999	33647644	-
TRIM63	1	26377791	26394121	-
TRIM64	11	89699204	89707240	+
TRIM64B	11	89603754	89609185	-
TRIM64C	11	49075265	49080664	-
TRIM65	17	73885043	73893032	-
TRIM66	11	8633586	8680433	-
TRIM67	1	231298673	231357310	+
TRIM67-AS1	1	231319843	231323373	-
TRIM68	11	4619901	4629461	-
TRIM69	15	45028725	45060025	+
TRIM7	5	180620923	180632196	-
TRIM71	3	32859488	32939316	+
TRIM72	16	31225439	31242858	+
TRIM73	7	72430007	75034896	-
TRIM74	7	72430015	72439997	-
TRIM77	11	89443466	89451040	+
TRIM8	10	104404235	104418076	+
TRIM9	14	51441980	51562422	-
TRIML1	4	189060594	189068894	+
TRIML2	4	189012425	189030757	-
TRIO	5	14143450	14510313	+
TRIOBP	22	38093054	38172563	+
TRIP10	19	6739690	6751541	+
TRIP11	14	92432334	92506403	-
TRIP12	2	230628552	230787896	-
TRIP13	5	892998	918235	+
TRIP4	15	64680034	64747502	+
TRIP6	7	100465008	100471076	+
TRIQK	8	93895757	93978372	-
TRIR	19	12841453	12845498	-
TRIT1	1	40303781	40349183	-
TRMO	9	100659137	100684782	-
TRMT1	19	13215713	13227554	-
TRMT10A	4	100467867	100485196	-
TRMT10B	9	37753799	37778969	+
TRMT10C	3	101280711	101285290	+
TRMT11	6	126307575	126400872	+
TRMT112	11	64083931	64086068	-
TRMT12	8	125463060	125465266	+
TRMT13	1	100598705	100616054	+
TRMT1L	1	185087217	185126230	-
TRMT2A	22	20099397	20104749	-
TRMT2B	X	100264333	100307105	-
TRMT44	4	8442503	8478282	+
TRMT5	14	61438166	61448408	-
TRMT6	20	5917873	5931204	-
TRMT61A	14	103995532	104003410	+
TRMT61B	2	29072687	29093175	-
TRMT9B	8	12803181	12887284	+
TRMU	22	46731610	46753237	+
TRNAU1AP	1	28879528	28905057	+
TRNP1	1	27320182	27327377	+
TRNT1	3	3168623	3195119	+
TRO	X	54946995	54957866	+
TROAP	12	49717037	49725514	+
TRPA1	8	72933484	72987819	-
TRPC1	3	142442875	142526729	+
TRPC2	11	3647689	3658789	+
TRPC3	4	122795635	122873215	-
TRPC4	13	38206199	38443909	-
TRPC4AP	20	33590206	33680618	-
TRPC5	X	111017541	111326004	-
TRPC5OS	X	111119278	111147213	+
TRPC6	11	101322294	101454738	-
TRPC7	5	135548432	135701233	-
TRPC7-AS2	5	135562342	135651788	+
TRPM1	15	31293263	31453476	-
TRPM2	21	45773483	45862964	+
TRPM2-AS	21	45834474	45845446	-
TRPM3	9	73143975	74061887	-
TRPM4	19	49661048	49715093	+
TRPM5	11	2425745	2444275	-
TRPM6	9	77337410	77502837	-
TRPM7	15	50849355	50978994	-
TRPM8	2	234826017	234928166	+
TRPS1	8	116420723	116681202	-
TRPT1	11	63991270	63993726	-
TRPV1	17	3468739	3512705	-
TRPV2	17	16318884	16340317	+
TRPV3	17	3413795	3461106	-
TRPV4	12	110220891	110271203	-
TRPV5	7	142605266	142630843	-
TRPV6	7	142568960	142583490	-
TRRAP	7	98476112	98610866	+
TRUB1	10	116697953	116737435	+
TRUB2	9	131067437	131084726	-
TRY2P	7	141968100	141972068	-
TSACC	1	156307104	156316785	+
TSBP1	6	32260474	32339680	-
TSBP1-AS1	6	32222949	32375506	+
TSC1	9	135766735	135820003	-
TSC2	16	2097895	2139491	+
TSC22D1	13	45006278	45150701	-
TSC22D1-AS1	13	45150031	45154568	+
TSC22D2	3	150126084	150184207	+
TSC22D3	X	106956451	107019218	-
TSC22D4	7	100064141	100076837	-
TSEN15	1	184020863	184066619	+
TSEN2	3	12525930	12581123	+
TSEN34	19	54694118	54698394	+
TSEN54	17	73512608	73520816	+
TSFM	12	58176527	58196639	+
TSG1	6	94413734	94486338	+
TSG101	11	18501857	18548489	-
TSGA10	2	99613723	99771429	-
TSGA10IP	11	65713114	65727434	+
TSGA13	7	130353482	130372268	-
TSHB	1	115572446	115576930	+
TSHR	14	81421964	81612650	+
TSHZ1	18	72922751	73001899	+
TSHZ2	20	51588896	52111869	+
TSHZ3	19	31640781	31840342	-
TSIX	X	73012039	73049066	+
TSKS	19	50243016	50266563	-
TSKU	11	76493356	76509198	+
TSL	7	27655592	27667111	+
TSLP	5	110405777	110413724	+
TSN	2	122513120	122525428	+
TSNARE1	8	143293440	143484543	-
TSNAX	1	231664414	231702269	+
TSNAX-DISC1	1	231664398	232177020	+
TSNAXIP1	16	67840791	67861971	+
TSPAN1	1	46640758	46651634	+
TSPAN10	17	79604221	79615785	+
TSPAN11	12	31079681	31149537	+
TSPAN12	7	120427373	120498198	-
TSPAN13	7	16793379	16824161	+
TSPAN14	10	82214065	82282386	+
TSPAN15	10	71211220	71267425	+
TSPAN16	19	11406835	11437672	+
TSPAN17	5	176074484	176086052	+
TSPAN18	11	44748511	44953974	+
TSPAN19	12	85408095	85430055	-
TSPAN2	1	115590632	115632124	-
TSPAN3	15	77333744	77363451	-
TSPAN31	12	58138821	58144002	+
TSPAN32	11	2323242	2339434	+
TSPAN33	7	128784711	128809537	+
TSPAN4	11	842823	867116	+
TSPAN5	4	99391517	99579762	-
TSPAN6	X	99882104	99892101	-
TSPAN7	X	38420794	38548172	+
TSPAN8	12	71518875	71551779	-
TSPAN9	12	3186520	3395730	+
TSPEAR	21	45917775	46131487	-
TSPEAR-AS1	21	45925926	45936458	+
TSPEAR-AS2	21	45937097	45938860	+
TSPO	22	43547564	43559248	+
TSPO2	6	41010205	41012076	+
TSPOAP1	17	56378591	56406156	-
TSPOAP1-AS1	17	56402810	56431088	+
TSPY1	Y	9175072	9307358	+
TSPY10	Y	9175072	9368285	+
TSPY2	Y	6114263	6117054	+
TSPY26P	20	30776948	30778163	-
TSPY3	Y	9175072	9368285	+
TSPY4	Y	9175118	9368285	+
TSPY8	Y	9175118	9198202	+
TSPYL1	6	116596020	116601093	-
TSPYL2	X	53111548	53117722	+
TSPYL4	6	116571130	116575238	-
TSPYL5	8	98285715	98290156	-
TSPYL6	2	54480314	54483366	-
TSR1	17	2225689	2239751	-
TSR2	X	54466807	54474460	+
TSR3	16	1399240	1401879	-
TSSC2	11	3402190	3430378	+
TSSC4	11	2421979	2425106	+
TSSK1B	5	112768249	112770686	-
TSSK2	22	19118820	19120135	+
TSSK3	1	32828139	32829910	+
TSSK4	14	24674901	24677454	+
TSSK6	19	19625027	19626357	-
TST	22	37406899	37416224	-
TSTD1	1	161007421	161008754	-
TSTD2	9	100362361	100395650	-
TSTD3	6	99968924	99981059	+
TTBK1	6	43211218	43255996	+
TTBK2	15	43030927	43212976	-
TTC1	5	159436106	159492552	+
TTC12	11	113185304	113244018	+
TTC13	1	231041988	231114607	-
TTC14	3	180319950	180336116	+
TTC16	9	130478357	130493869	+
TTC17	11	43380469	43516479	+
TTC19	17	15903137	15932718	+
TTC21A	3	39149151	39180394	+
TTC21B	2	166729871	166810286	-
TTC21B-AS1	2	166790366	166804831	+
TTC22	1	55245385	55266996	-
TTC23	15	99676527	99791430	-
TTC23L	5	34839268	34900606	+
TTC24	1	156549514	156557511	+
TTC25	17	40086869	40118521	+
TTC26	7	138818489	138876732	+
TTC27	2	32853116	33046118	+
TTC28	22	28374001	29075853	-
TTC28-AS1	22	28315363	28398667	+
TTC29	4	147627789	147867038	-
TTC3	21	38445483	38575419	+
TTC3-AS1	21	38559912	38566227	-
TTC30A	2	178477727	178483470	-
TTC30B	2	178413726	178417524	-
TTC31	2	74710207	74721686	+
TTC32	2	20096391	20101744	-
TTC33	5	40711677	40756063	-
TTC34	1	2572707	2717433	-
TTC36	11	118398188	118401708	+
TTC37	5	94799597	94890681	-
TTC38	22	46663904	46689905	+
TTC39A	1	51752929	51810788	-
TTC39A-AS1	1	51795325	51796953	+
TTC39B	9	15163619	15307358	-
TTC39C	18	21572850	21715564	+
TTC39C-AS1	18	21574178	21595424	-
TTC3P1	X	74960372	74962914	-
TTC4	1	55181494	55208328	+
TTC41P	12	104237526	104323989	-
TTC5	14	20754385	20774110	-
TTC6	14	38064833	38311922	+
TTC7A	2	47143004	47303262	+
TTC7B	14	90990907	91282774	-
TTC8	14	89290496	89347423	+
TTC9	14	71108632	71142083	+
TTC9B	19	40721964	40724306	-
TTC9C	11	62495544	62506108	+
TTF1	9	135250934	135282238	-
TTF2	1	117602947	117650075	+
TTI1	20	36611422	36661858	-
TTI2	8	33356239	33370653	-
TTK	6	80714321	80752244	+
TTL	2	113239732	113299316	+
TTLL1	22	43435522	43485434	-
TTLL1-AS1	22	43434590	43448371	+
TTLL10	1	1109259	1133315	+
TTLL11	9	124577952	124855587	-
TTLL12	22	43562627	43583140	-
TTLL13P	15	90792763	90802320	+
TTLL2	6	167738573	167756176	+
TTLL3	3	9851598	9878049	+
TTLL4	2	219575557	219620138	+
TTLL5	14	76127588	76421422	+
TTLL6	17	46839592	46894591	-
TTLL7	1	84330706	84464815	-
TTLL8	22	50457003	50496656	-
TTLL9	20	30458436	30532762	+
TTN	2	179390716	179672150	-
TTN-AS1	2	179387553	179484944	+
TTPA	8	63972047	63998612	-
TTPAL	20	43104513	43123244	+
TTR	18	29171839	29178784	+
TTTY1	Y	6258441	9611928	+
TTTY10	Y	22627553	22681114	-
TTTY11	Y	8651355	8685423	-
TTTY12	Y	7672964	7678723	+
TTTY13	Y	23745485	23756552	-
TTTY14	Y	21034386	21239433	-
TTTY15	Y	14774297	14804153	+
TTTY16	Y	7567397	7569288	-
TTTY17A	Y	24997730	27330920	+
TTTY17B	Y	24997730	27330920	+
TTTY17C	Y	24997730	27330920	+
TTTY18	Y	8551410	8551919	-
TTTY19	Y	8572512	8573324	+
TTTY1B	Y	6258441	9611928	+
TTTY2	Y	6274284	9596085	-
TTTY20	Y	9167488	9172441	-
TTTY21	Y	6311474	9558905	+
TTTY21B	Y	6311474	9558905	+
TTTY22	Y	9638761	9650854	+
TTTY23	Y	6110486	9749571	-
TTTY23B	Y	6110486	9749571	-
TTTY2B	Y	6274284	9596085	-
TTTY3	Y	26082873	27879535	-
TTTY3B	Y	26082873	27879535	-
TTTY4	Y	25082601	27246039	+
TTTY4B	Y	25082601	27246039	+
TTTY4C	Y	25082601	27246039	+
TTTY5	Y	24442944	24445023	-
TTTY6	Y	24291111	24587606	+
TTTY6B	Y	24291133	24587584	+
TTTY7	Y	6317508	9552871	+
TTTY7B	Y	6317508	9552871	+
TTTY8	Y	6339071	9531308	-
TTTY8B	Y	6339071	9531308	-
TTTY9A	Y	20743091	20901083	-
TTTY9B	Y	20743091	20901083	-
TTYH1	19	54926637	54948082	+
TTYH2	17	72209709	72258157	+
TTYH3	7	2671619	2704436	+
TUB	11	8060179	8127790	+
TUB-AS1	11	8081584	8090920	+
TUBA1A	12	49578577	49583107	-
TUBA1B	12	49521564	49525178	-
TUBA1C	12	49621708	49668383	+
TUBA3C	13	19747911	19755964	-
TUBA3D	2	132233691	132240507	+
TUBA3E	2	130949317	130956012	-
TUBA3FP	22	21362495	21368576	-
TUBA4A	2	220114431	220119330	-
TUBA4B	2	220117964	220136919	+
TUBA8	22	18593574	18614499	+
TUBAL3	10	5435063	5446791	-
TUBB	6	30688128	30693195	+
TUBB1	20	57594483	57601709	+
TUBB2A	6	3153900	3157778	-
TUBB2B	6	3224510	3227887	-
TUBB3	16	89988332	90002505	+
TUBB4A	19	6494329	6502859	-
TUBB4B	9	140135738	140138159	+
TUBB6	18	12307667	12329824	+
TUBB8	10	92827	95236	-
TUBB8B	18	47220	49557	-
TUBBP5	9	141044564	141071885	+
TUBD1	17	57936840	57970306	-
TUBE1	6	112391865	112408685	-
TUBG1	17	40761700	40767256	+
TUBG2	17	40811301	40819024	+
TUBGCP2	10	135092133	135125841	-
TUBGCP3	13	113139324	113242499	-
TUBGCP4	15	43663298	43701969	+
TUBGCP5	15	22833394	22890043	+
TUBGCP6	22	50656122	50683452	-
TUFM	16	28853731	28857669	-
TUFT1	1	151512784	151556059	+
TUG1	22	31365196	31375380	+
TULP1	6	35465650	35480673	-
TULP2	19	49384223	49402001	-
TULP3	12	3000056	3050301	+
TULP4	6	158733496	158932856	+
TUNAR	14	96342728	96391908	+
TUSC1	9	25676966	25678442	-
TUSC2	3	50362339	50365669	-
TUSC3	8	15397595	15624158	+
TUSC7	3	116428634	116435887	+
TUSC8	13	44974385	44980120	-
TUT1	11	62342523	62358995	-
TUT4	1	52888947	53018764	-
TUT7	9	88902647	88969325	-
TVP23A	16	10854768	10912651	-
TVP23B	17	18684307	18710027	+
TVP23C	17	15405577	15466945	-
TVP23C-CDRT4	17	15339331	15466797	-
TWF1	12	44187525	44200120	-
TWF2	3	52262627	52273174	-
TWIST1	7	19152670	19157259	-
TWIST2	2	239756725	239832230	+
TWNK	10	102747299	102754160	+
TWSG1	18	9334770	9402418	+
TXK	4	48068409	48136267	-
TXLNA	1	32645275	32663886	+
TXLNB	6	139561198	139613135	-
TXLNG	X	16804554	16862642	+
TXLNGY	Y	21729243	21769056	+
TXN	9	113006089	113018787	-
TXN2	22	36863092	36877687	-
TXNDC11	16	11772940	11836713	-
TXNDC12	1	52485803	52521843	-
TXNDC12-AS1	1	52516589	52518355	+
TXNDC15	5	134209459	134237325	+
TXNDC16	14	52897307	53019301	-
TXNDC17	17	6544379	6547861	+
TXNDC2	18	9885969	9889272	+
TXNDC5	6	7881746	7911021	-
TXNDC8	9	113065755	113100164	-
TXNDC9	2	99935446	99952796	-
TXNIP	1	145438489	145442628	+
TXNL1	18	54264439	54305823	-
TXNL4A	18	77730812	77793936	-
TXNL4B	16	72118755	72128277	-
TXNRD1	12	104609556	104744085	+
TXNRD2	22	19863040	19929341	-
TXNRD3	3	126325901	126373967	-
TYK2	19	10461208	10491248	-
TYMP	22	50964180	50968514	-
TYMS	18	657652	673577	+
TYMSOS	18	649619	658291	-
TYR	11	88911042	89028927	+
TYRO3	15	41851409	41875787	+
TYRO3P	15	76551629	76552493	-
TYROBP	19	36395307	36399197	-
TYRP1	9	12693384	12710285	+
TYSND1	10	71897736	71906456	-
TYW1	7	66461791	66704501	+
TYW1B	7	72039497	72298779	-
TYW3	1	75198835	75232360	+
TYW5	2	200793635	200820214	-
U2AF1	21	44513065	44527688	-
U2AF1L4	19	36233364	36236319	-
U2AF1L5	21	44513065	44527716	-
U2AF2	19	56166400	56186082	+
U2SURP	3	142720411	142779567	+
UACA	15	70946892	71055897	-
UAP1	1	162531229	162569633	+
UAP1L1	9	139971968	139978990	+
UBA1	X	47050245	47074527	+
UBA2	19	34919285	34962156	+
UBA3	3	69103880	69129524	-
UBA5	3	132373289	132398636	+
UBA52	19	18682539	18688360	+
UBA6	4	68478370	68566873	-
UBA6-AS1	4	68566995	68588222	+
UBA7	3	49842641	49851386	-
UBAC1	9	138824814	138853219	-
UBAC2	13	99853107	100038757	+
UBAC2-AS1	13	99848627	99853011	-
UBALD1	16	4658884	4664889	-
UBALD2	17	74261428	74267379	+
UBAP1	9	34179002	34252521	+
UBAP1L	15	65385097	65407538	-
UBAP2	9	33921690	34049197	-
UBAP2L	1	154192647	154243986	+
UBASH3A	21	43824010	43867792	+
UBASH3B	11	122526429	122685181	+
UBB	17	16284106	16286059	+
UBBP4	17	21729600	21731762	+
UBC	12	125396191	125399196	-
UBD	6	29523291	29527509	-
UBE2A	X	118708525	118718386	+
UBE2B	5	133707259	133727799	+
UBE2C	20	44441214	44445596	+
UBE2CP5	19	58379127	58380379	+
UBE2D1	10	60094738	60130513	+
UBE2D2	5	138940750	139008018	+
UBE2D3	4	103715539	103790050	-
UBE2D3-AS1	4	103749211	103765263	+
UBE2D4	7	43966034	43995735	+
UBE2DNL	X	84189156	84189896	+
UBE2E1	3	23847445	23933131	+
UBE2E1-AS1	3	23845514	23848396	-
UBE2E2	3	23244588	23633416	+
UBE2E2-AS1	3	23236560	23244484	-
UBE2E3	2	181845111	181928154	+
UBE2E4P	X	14262386	14263545	+
UBE2F	2	238875586	238951423	+
UBE2F-SCLY	2	238875586	239008054	+
UBE2FP1	3	37183035	37185673	-
UBE2G1	17	4172511	4269969	-
UBE2G2	21	46188494	46221735	-
UBE2H	7	129470571	129592800	-
UBE2I	16	1359152	1377018	+
UBE2J1	6	90036343	90062441	-
UBE2J2	1	1189291	1209234	-
UBE2K	4	39699755	39784410	+
UBE2L3	22	21903735	21978323	+
UBE2L5	13	30996629	31003895	+
UBE2L6	11	57319127	57335803	-
UBE2M	19	59067078	59069978	-
UBE2MP1	16	34403801	34404762	-
UBE2N	12	93799459	93835723	-
UBE2NL	X	142967172	142968357	+
UBE2O	17	74385536	74449234	-
UBE2Q1	1	154521052	154531138	-
UBE2Q1-AS1	1	154526084	154527504	+
UBE2Q2	15	76135787	76193413	+
UBE2Q2L	15	84841186	84850971	+
UBE2Q2P1	15	85070426	85114026	-
UBE2Q2P2	15	82647353	83084341	+
UBE2QL1	5	6448971	6496836	+
UBE2R2	9	33817157	33920397	+
UBE2S	19	55911112	55919156	-
UBE2T	1	202300784	202311094	-
UBE2U	1	64669305	64733050	+
UBE2V1	20	48697660	48732494	-
UBE2V2	8	48920990	48977268	+
UBE2W	8	74692330	74791097	-
UBE2Z	17	46985768	47006418	+
UBE3A	15	25578874	25684203	-
UBE3B	12	109915427	109974507	+
UBE3C	7	156931619	157062064	+
UBE3D	6	83602108	83775560	-
UBE4A	11	118230314	118269926	+
UBE4B	1	10093015	10241296	+
UBFD1	16	23569047	23585710	+
UBIAD1	1	11333254	11359628	+
UBL3	13	30338507	30424754	-
UBL4A	X	153712055	153714954	-
UBL4B	1	110655064	110656569	+
UBL5	19	9938593	9940791	+
UBL7	15	74738317	74753529	-
UBL7-AS1	15	74753605	74773633	+
UBLCP1	5	158690297	158713042	+
UBN1	16	4897481	4932402	+
UBN2	7	138915982	138992982	+
UBOX5	20	3088218	3140511	-
UBOX5-AS1	20	3087556	3131513	+
UBP1	3	33429828	33481897	-
UBQLN1	9	86274882	86322873	-
UBQLN2	X	56590059	56594301	+
UBQLN3	11	5528529	5531187	-
UBQLN4	1	156005089	156023589	-
UBQLNL	11	5535622	5537929	-
UBR1	15	43235097	43398236	-
UBR2	6	42531759	42661243	+
UBR3	2	170683963	170940639	+
UBR4	1	19401005	19536760	-
UBR5	8	103264501	103424928	-
UBR5-AS1	8	103251678	103264402	+
UBR7	14	93673400	93695561	+
UBTD1	10	99258680	99330963	+
UBTD2	5	171636649	171710768	-
UBTF	17	42282408	42298672	-
UBTFL1	11	89819117	89820299	+
UBXN1	11	62443969	62446589	-
UBXN10	1	20512588	20522543	+
UBXN11	1	26608772	26644756	-
UBXN2A	2	24163332	24227779	+
UBXN2B	8	59323822	59364060	+
UBXN4	2	136499424	136542626	+
UBXN6	19	4445002	4457791	-
UBXN7	3	196074532	196159298	-
UBXN7-AS1	3	196158255	196159905	+
UBXN8	8	30601680	30624520	+
UC.134	3	158244496	158246363	+
UCA1	19	15939756	15947131	+
UCHL1	4	41258944	41270472	+
UCHL1-AS1	4	41222090	41258744	-
UCHL3	13	76123615	76180156	+
UCHL5	1	192981383	193029206	-
UCK1	9	134399182	134406662	-
UCK2	1	165796850	165880855	+
UCKL1	20	62571181	62587769	-
UCKL1-AS1	20	62584736	62588338	+
UCMA	10	13263765	13276374	-
UCN	2	27530267	27531313	-
UCN2	3	48599150	48601214	-
UCN3	10	5406928	5416655	+
UCP1	4	141480585	141490115	-
UCP2	11	73685716	73694247	-
UCP3	11	73711321	73720282	-
UEVLD	11	18551152	18610281	-
UFC1	1	161123767	161128646	+
UFD1	22	19437433	19466716	-
UFL1	6	96969681	97003151	+
UFM1	13	38923987	38937756	+
UFSP1	7	100486341	100487336	-
UFSP2	4	186320691	186347139	-
UGCG	9	114659093	114697647	+
UGDH	4	39500374	39529059	-
UGDH-AS1	4	39529458	39596327	+
UGGT1	2	128848773	128953249	+
UGGT2	13	96453835	96705655	-
UGP2	2	64068102	64118694	+
UGT1A1	2	234668915	234681946	+
UGT1A10	2	234545122	234681951	+
UGT1A3	2	234637687	234681946	+
UGT1A4	2	234627381	234681946	+
UGT1A5	2	234621637	234681945	+
UGT1A6	2	234600315	234681946	+
UGT1A7	2	234590583	234681945	+
UGT1A8	2	234526290	234681945	+
UGT1A9	2	234580543	234681946	+
UGT2A1	4	70454134	70518965	-
UGT2A2	4	70454134	70505360	-
UGT2A3	4	69794181	69817522	-
UGT2B10	4	69681711	69886114	+
UGT2B11	4	70065668	70080466	-
UGT2B15	4	69512314	69536370	-
UGT2B17	4	69402892	69442040	-
UGT2B28	4	70146192	70160768	+
UGT2B4	4	70345882	70391732	-
UGT2B7	4	69916981	69978705	+
UGT3A1	5	35951107	36001124	-
UGT3A2	5	36035122	36066984	-
UGT8	4	115519557	115599381	+
UHMK1	1	162466963	162499421	+
UHRF1	19	4903091	4962165	+
UHRF1BP1	6	34759859	34845291	+
UHRF1BP1L	12	100430849	100536652	-
UHRF2	9	6413150	6507051	+
UICLM	2	241894035	241906868	-
UIMC1	5	176332005	176433795	-
ULBP1	6	150285078	150294851	+
ULBP2	6	150263149	150270368	+
ULBP3	6	150382188	150390257	-
ULK1	12	132379166	132407695	+
ULK2	17	19674142	19771249	-
ULK3	15	75128458	75135497	-
ULK4	3	41288089	42003595	-
ULK4P1	15	30395749	32727250	+
ULK4P2	15	30395749	32727250	+
ULK4P3	15	30395934	30423948	+
UMAD1	7	7680382	7918851	+
UMOD	16	20344372	20364037	-
UMODL1	21	43482985	43563564	+
UMODL1-AS1	21	43522243	43528644	-
UMPS	3	124449212	124468119	+
UNC119	17	26873724	26879646	-
UNC119B	12	121148260	121161443	+
UNC13A	19	17712136	17799008	-
UNC13B	9	35162005	35405335	+
UNC13C	15	54270637	54925637	+
UNC13D	17	73823306	73840485	-
UNC45A	15	91473409	91497323	+
UNC45B	17	33474835	33516364	+
UNC50	2	99225010	99234977	+
UNC5A	5	176237559	176307899	+
UNC5B	10	72972326	73062619	+
UNC5B-AS1	10	72976980	72977985	-
UNC5C	4	96083655	96470124	-
UNC5CL	6	40994635	41006960	-
UNC5D	8	35092992	35654068	+
UNC79	14	93799527	94174222	+
UNC80	2	210636555	210864024	+
UNC93A	6	167704802	167729502	+
UNC93B1	11	67758570	67771567	-
UNCX	7	1272507	1276962	+
UNG	12	109535401	109548797	+
UNK	17	73780886	73821880	+
UNKL	16	1413205	1464705	-
UNQ6494	9	92254697	92334674	+
UOX	1	84830640	84850484	-
UPB1	22	24891299	24924358	+
UPF1	19	18942767	18979039	+
UPF2	10	11962020	12085169	-
UPF3A	13	115047075	115071291	+
UPF3B	X	118967984	118986991	-
UPK1A	19	36157417	36169387	+
UPK1A-AS1	19	36158849	36164193	-
UPK1B	3	118892444	118923990	+
UPK2	11	118827007	118829269	+
UPK3A	22	45680829	45691755	+
UPK3B	7	76139739	76157199	+
UPK3BL1	7	102277471	102283238	-
UPK3BL2	7	102178365	102185235	-
UPP1	7	48128199	48148333	+
UPP2	2	158851690	158992666	+
UPRT	X	74376203	74524732	+
UQCC1	20	33890368	33999945	-
UQCC2	6	33664540	33679477	-
UQCC3	11	62439144	62441158	+
UQCR10	22	30163357	30166402	+
UQCR11	19	1597167	1605461	-
UQCRB	8	97235174	97247773	-
UQCRBP1	X	56763220	56764017	-
UQCRC1	3	48636434	48647079	-
